A-Force;Angela;Black Cat;Black Widow;Black Widow, Agent of SHIELD;Captain Marvel;Captain Marvel, Cosmic Avenger;Crystal;Domino;Gamora;Gwenpool;Medusa;Okoye;Scarlet Witch;She-Hulk (L AFo);Shuri;Spider-Woman;Squirrel Girl;Storm;The Black Widow;Valkyrie;Wasp;;;;;;;;;;;;;;
Asgard;Angela;Beta Ray Bill;Enchantress;Heimdall, the All-Seeing;Hela, Queen of Hel;Loki, God of Mischief;Skurge, the Executioner;Thor, Prince of Asgard (L Asg);Valkyrie;;;;;;;;;;;;;;;;;;;;;;;;;;
Avengers;Captain America (Steve Rogers) (L Avg), Captain America (Sam Wilson) (L Avg);Captain America, First Avenger (L Avg);Hulkbuster (L Avg);Ant-Man;Beast;Black Panther;Black Widow;Black Widow, Agent of SHIELD;Blade;Cable;Captain Marvel;Captain Marvel, Cosmic Avenger;Deadpool;Doctor Voodoo;Gwenpool;Hawkeye;Hulk;Invincible Iron Man;Iron Fist;Iron Man;King T'challa;Luke Cage;Ms Marvel;Quicksilver;Scarlet Witch;She-Hulk;Spider-Woman;Squirrel Girl;The Black Widow;Thor, Prince of Asgard;Vision;War Machine;Wasp;Winter Soldier, Operative;Wolverine
Black Order;Thanos, The Mad Titan (L BlO);Black Dwarf;Black Swan;Corvus Glaive;Cosmic Ghost Rider;Ebony Maw;Proxima Midnight;Supergiant;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brotherhood of Mutants;Magneto (L BoM);Mystique (L BoM);Colossus;Emma Frost;Gambit;Juggernaut;Pyro;Quicksilver;Rogue;Sabretooth;Sabretooth, Apex Predator;Scarlet Witch;Shadow King;The Blob;Toad;;;;;;;;;;;;;;;;;;;;
Cabal;Malekith the Accursed (L Cab);Red Skull (L Cab);Red Skull, Master of the World (L Cab);Sin (L Cab);Arnim Zola;Baron Mordo;Baron Strucker;Baron Helmut Zemo;Baron Zemo;Bob, Agent of Hydra;Bullseye;Cassandra Nova;Crossbones;Crossbones, Merciless Merc;Enchantress;Hood;Killmonger;Kingpin;Klaw;Loki, God of Mischief;Magneto;Mister Sinister;MODOK;Mysterio;Mystique;Omega Red;Red Skull, Master of Hydra;Sabretooth;Skurge, the Executioner;Ulik;Ultron;Ultron, Metal Tyrant;Viper;Winter Soldier, Operative;
Convocation;Ancient One;Baron Mordo;Clea;Doctor Strange;Doctor Strange, Sorcerer Supreme;Doctor Voodoo;Magik;Wong;;;;;;;;;;;;;;;;;;;;;;;;;;;
Criminal Syndicate;Kingpin (L CSy);Klaw (L CSy);MODOK, Scientist Supreme (L CSy);Shadowland Daredevil (L CSy);Black Cat;Bullseye;Crossbones;Crossbones, Merciless Merc;Elektra;Green Goblin;Gwenpool;Hood;Killmonger;Killmonger, Usurper;Kraven the Hunter;M'Baku;MODOK;Mysterio;Omega Red;Rhino;Sin;Taskmaster;Ulik;;;;;;;;;;;;
Dark Dimension;Dormammu(L DDi);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defenders;Daredevil (L Def);Doctor Strange (L Def);Ancient One;Amazing Spider-Man;Blade;Clea;Doctor Strange, Sorcerer Supreme;Elektra;Ghost Rider;Hawkeye;Hulk;Immortal Hulk;Iron Fist;Luke Cage;Magik;Moon Knight;Punisher;Scarlet Witch;Spider-Man (Peter Parker);Valkyrie;Wolverine;Wong;;;;;;;;;;;;;
Guardians of the Galaxy;Star-Lord(L GoG);Agent Venom;Angela;Beta Ray Bill;Cosmic Ghost Rider;Drax the Destroyer;Gamora;Groot;Nebula;Rocket Raccoon;Ronan the Accuser;;;;;;;;;;;;;;;;;;;;;;;;
Hellfire Club;Emma Frost;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hydra;Baron Helmut Zemo (L Hyd);Baron Strucker (L Hyd);Red Skull, Master of Hydra (L Hyd);Arnim Zola;Baron Zemo;Bob, Agent of Hydra;Crossbones;Crossbones, Merciless Merc;MODOK, Scientist Supreme;Red Skull;Red Skull, Master of the World;Sin;Spider-Woman;Taskmaster;Viper;Winter Soldier, Operative;;;;;;;;;;;;;;;;;;;
Inhumans;Black Bolt (L Inh);Beast;Crystal;Lockjaw;Medusa;Ms Marvel;Quicksilver;Ronan the Accuser;;;;;;;;;;;;;;;;;;;;;;;;;;;
Midnight Sons;Blade (L MiS);Black Cat;Doctor Strange;Doctor Voodoo;Ghost Rider;Immortal Hulk;Iron Fist;Moon Knight;Wong;;;;;;;;;;;;;;;;;;;;;;;;;;
Sentinels;Sentinel Prime MK4 (L Sen);Cassandra Nova;Sentinel MK4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHIELD;Invincible Iron Man (L SHI);Nick Fury (L SHI);Agent Venom;Black Widow;Black Widow, Agent of SHIELD;Captain America, First Avenger;Hawkeye;Iron Man;Nick Fury & The Howling Commandos;She-Hulk;Spectacular Spider-Man;Spider-Woman;Steve Rogers, Captain America;Taskmaster;The Black Widow;The Original Human Torch;War Machine;Winter Soldier;Winter Soldier, Operative;;;;;;;;;;;;;;;;
Spider-Foes;Doc Ock, Sinister Scientist (L SpF);Green Goblin (L SpF);Carnage;Doctor Octopus;Kingpin;Kraven the Hunter;Lizard;Mysterio;Rhino;Venom;;;;;;;;;;;;;;;;;;;;;;;;;
Uncanny X-Men;Cyclops (L UXM);Professor X (L UXM);Storm (L UXM);Beast;Bishop;Cable;Colossus;Domino;Emma Frost;Gambit;Honey Badger;Iceman;Jean Grey;Logan, the Wolverine;Magik;Nightcrawler;Psylocke;Rogue;Shadowcat;Wolverine;X-23;;;;;;;;;;;;;;
Wakanda;Black Panther (L Wak);Killmonger, Usruper (L Wak);King T'challa (L Wak);M'Baku (L Wak);Killmonger;Okoye;Shuri;Storm;;;;;;;;;;;;;;;;;;;;;;;;;;;
Weapon X;Deadpool;Domino;Honey Badger;Logan, the Wolverine;Sabretooth, Apex Predator;X-23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Web Warriors;Amazing Spider-Man (L WeW);Spider-Man (Miles Morales) (L WeW);Agent Venom;Black Cat;Daredevil;Ghost-Spider;Moon Knight;Spectacular Spider-Man;Spider-Man (Peter Parker);Spider-Woman;Venom;;;;;;;;;;;;;;;;;;;;;;;;
Winter Guard;Crimson Dynamo (L WiG);Black Widow;Darkstar;Omega Red;Red Guardian;Ursa Major;Winter Soldier, Operative;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X-Force;Cable (L XFo);Bishop;Colossus;Deadpool;Domino;Honey Badger;Psylocke;Sabretooth;Wolverine;X-23;;;;;;;;;;;;;;;;;;;;;;;;;
Unaffiliated;Punisher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
